DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-09-03,18:00,5599.25,5599.25,5599.0,5599.0,2
2024-09-03,18:01,5599.0,5599.0,5599.0,5599.0,2
2024-09-03,18:02,5597.75,5597.75,5597.0,5597.0,4
2024-09-03,18:03,5596.0,5596.5,5594.25,5594.75,13
2024-09-03,18:04,5594.75,5594.75,5594.75,5594.75,2
2024-09-03,18:05,5595.0,5595.0,5594.25,5594.25,2
2024-09-03,18:07,5594.25,5594.25,5593.0,5593.0,11
2024-09-03,18:08,5591.0,5591.0,5590.75,5590.75,3
2024-09-03,18:09,5591.25,5591.25,5591.25,5591.25,2
2024-09-03,18:10,5591.75,5591.75,5591.75,5591.75,1
2024-09-03,18:12,5595.0,5595.0,5595.0,5595.0,1
2024-09-03,18:13,5595.0,5595.0,5595.0,5595.0,3
2024-09-03,18:14,5595.25,5597.0,5595.25,5597.0,4
2024-09-03,18:15,5597.0,5597.0,5597.0,5597.0,3
2024-09-03,18:16,5598.5,5598.5,5594.5,5594.5,7
2024-09-03,18:17,5595.0,5595.0,5595.0,5595.0,1
2024-09-03,18:18,5596.0,5596.5,5596.0,5596.5,2
2024-09-03,18:19,5597.0,5597.25,5597.0,5597.25,2
2024-09-03,18:20,5597.75,5597.75,5597.75,5597.75,1
2024-09-03,18:21,5598.0,5598.75,5598.0,5598.75,5
2024-09-03,18:22,5599.0,5599.25,5599.0,5599.25,2
2024-09-03,18:23,5598.25,5598.25,5598.25,5598.25,4
2024-09-03,18:24,5599.0,5599.0,5598.75,5598.75,10
2024-09-03,18:25,5598.75,5598.75,5598.75,5598.75,5
2024-09-03,18:26,5598.0,5598.0,5598.0,5598.0,5
2024-09-03,18:30,5597.0,5597.0,5597.0,5597.0,5
2024-09-03,18:31,5597.0,5597.0,5597.0,5597.0,1
2024-09-03,18:32,5597.0,5597.5,5597.0,5597.5,3
2024-09-03,18:33,5598.25,5599.0,5598.25,5599.0,2
2024-09-03,18:35,5598.75,5598.75,5598.75,5598.75,1
2024-09-03,18:36,5598.5,5599.5,5598.5,5599.5,2
2024-09-03,18:45,5597.5,5598.5,5597.5,5598.5,2
2024-09-03,18:47,5597.25,5597.25,5597.25,5597.25,1
2024-09-03,18:48,5598.75,5598.75,5598.75,5598.75,4
2024-09-03,18:49,5597.0,5597.0,5597.0,5597.0,1
2024-09-03,18:52,5598.25,5598.25,5598.25,5598.25,1
2024-09-03,18:54,5596.5,5596.5,5594.0,5594.0,5
2024-09-03,18:56,5594.0,5594.0,5593.5,5593.5,3
2024-09-03,18:57,5593.5,5593.5,5593.5,5593.5,1
2024-09-03,19:00,5593.5,5593.5,5593.5,5593.5,1
2024-09-03,19:01,5593.25,5593.75,5593.0,5593.25,6
2024-09-03,19:02,5592.75,5593.0,5592.75,5593.0,2
2024-09-03,19:03,5593.5,5593.5,5593.5,5593.5,1
2024-09-03,19:04,5593.5,5594.25,5593.5,5594.25,3
2024-09-03,19:05,5592.25,5592.25,5592.25,5592.25,1
2024-09-03,19:06,5593.25,5593.25,5593.25,5593.25,1
2024-09-03,19:07,5591.5,5591.75,5591.5,5591.75,4
2024-09-03,19:09,5592.0,5592.5,5592.0,5592.5,3
2024-09-03,19:10,5591.75,5591.75,5591.75,5591.75,1
2024-09-03,19:11,5592.5,5592.5,5592.5,5592.5,1
2024-09-03,19:12,5593.0,5593.0,5593.0,5593.0,2
2024-09-03,19:13,5593.5,5593.5,5593.5,5593.5,5
2024-09-03,19:14,5593.5,5595.0,5593.5,5595.0,3
2024-09-03,19:15,5596.5,5596.75,5596.5,5596.5,3
2024-09-03,19:19,5596.0,5596.0,5596.0,5596.0,3
2024-09-03,19:22,5595.25,5595.25,5595.25,5595.25,1
2024-09-03,19:23,5595.25,5595.25,5595.25,5595.25,1
2024-09-03,19:24,5595.5,5595.5,5595.5,5595.5,1
2024-09-03,19:26,5594.25,5594.25,5594.25,5594.25,1
2024-09-03,19:28,5593.0,5593.0,5593.0,5593.0,1
2024-09-03,19:29,5593.0,5593.0,5593.0,5593.0,1
2024-09-03,19:34,5593.25,5593.25,5593.25,5593.25,1
2024-09-03,19:37,5593.75,5593.75,5593.75,5593.75,3
2024-09-03,19:39,5592.5,5592.5,5592.5,5592.5,1
2024-09-03,19:40,5591.5,5591.5,5591.5,5591.5,1
2024-09-03,19:41,5592.0,5592.25,5592.0,5592.25,2
2024-09-03,19:42,5591.5,5591.5,5591.5,5591.5,1
2024-09-03,19:43,5592.5,5592.5,5592.5,5592.5,1
2024-09-03,19:44,5592.5,5593.0,5592.5,5593.0,14
2024-09-03,19:46,5592.5,5592.5,5592.5,5592.5,1
2024-09-03,19:48,5592.75,5592.75,5592.75,5592.75,2
2024-09-03,19:49,5592.5,5592.5,5591.0,5591.0,3
2024-09-03,19:50,5590.0,5590.0,5589.0,5589.5,5
