DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-09-09,18:00,5545.0,5549.0,5545.0,5547.25,14
2024-09-09,18:02,5548.5,5548.5,5548.5,5548.5,1
2024-09-09,18:03,5549.0,5550.25,5549.0,5550.25,17
2024-09-09,18:04,5549.25,5550.0,5549.25,5550.0,2
2024-09-09,18:05,5549.0,5549.75,5548.5,5548.5,14
2024-09-09,18:06,5548.5,5548.5,5548.5,5548.5,1
2024-09-09,18:07,5548.0,5548.0,5548.0,5548.0,1
2024-09-09,18:08,5548.25,5548.5,5547.75,5548.5,3
2024-09-09,18:09,5547.75,5547.75,5546.5,5546.5,5
2024-09-09,18:10,5547.0,5547.0,5545.25,5545.25,6
2024-09-09,18:11,5545.0,5545.0,5545.0,5545.0,1
2024-09-09,18:12,5544.5,5544.5,5543.5,5544.0,8
2024-09-09,18:13,5543.5,5543.5,5543.5,5543.5,1
2024-09-09,18:14,5544.0,5545.25,5544.0,5545.0,22
2024-09-09,18:15,5544.5,5544.75,5544.25,5544.25,4
2024-09-09,18:16,5544.75,5545.0,5544.5,5544.5,11
2024-09-09,18:19,5543.75,5543.75,5543.25,5543.25,2
2024-09-09,18:20,5544.25,5544.25,5544.0,5544.0,2
2024-09-09,18:23,5545.25,5545.5,5545.25,5545.5,3
2024-09-09,18:24,5544.75,5544.75,5544.5,5544.5,4
2024-09-09,18:26,5544.25,5544.25,5544.25,5544.25,1
2024-09-09,18:27,5544.75,5545.25,5544.75,5545.25,3
2024-09-09,18:29,5546.0,5546.0,5546.0,5546.0,1
2024-09-09,18:33,5546.0,5546.0,5546.0,5546.0,3
2024-09-09,18:34,5545.75,5545.75,5545.75,5545.75,1
2024-09-09,18:35,5545.0,5545.5,5545.0,5545.5,4
2024-09-09,18:36,5544.75,5544.75,5544.75,5544.75,1
2024-09-09,18:37,5545.25,5545.25,5545.25,5545.25,5
2024-09-09,18:40,5545.0,5545.0,5545.0,5545.0,8
2024-09-09,18:43,5544.25,5544.25,5544.0,5544.0,6
