DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-09-01,18:00,5720.75,5720.75,5720.75,5720.75,2
2024-09-01,18:01,5720.5,5720.5,5720.5,5720.5,1
2024-09-01,18:02,5721.5,5721.5,5721.5,5721.5,1
2024-09-01,18:03,5721.5,5721.5,5721.5,5721.5,1
2024-09-01,18:05,5720.5,5720.5,5720.5,5720.5,1
2024-09-01,18:08,5720.5,5720.5,5720.5,5720.5,1
2024-09-01,18:10,5719.0,5719.0,5718.5,5718.5,2
2024-09-01,18:12,5717.0,5717.0,5716.5,5716.5,4
2024-09-01,18:16,5717.25,5717.25,5717.0,5717.0,2
2024-09-01,18:22,5717.25,5717.25,5717.25,5717.25,1
2024-09-01,18:25,5717.0,5717.0,5717.0,5717.0,1
2024-09-01,18:27,5716.75,5716.75,5716.75,5716.75,1
2024-09-01,18:32,5716.25,5716.25,5716.25,5716.25,1
2024-09-01,18:33,5716.5,5716.75,5716.5,5716.75,2
2024-09-01,18:34,5716.75,5716.75,5716.75,5716.75,1
2024-09-01,18:35,5715.75,5715.75,5715.75,5715.75,1
2024-09-01,18:40,5715.5,5715.5,5715.5,5715.5,1
2024-09-01,18:41,5716.75,5716.75,5716.5,5716.5,3
2024-09-01,18:46,5715.0,5715.0,5714.75,5714.75,2
2024-09-01,18:49,5714.0,5714.0,5714.0,5714.0,1
2024-09-01,18:51,5714.75,5714.75,5714.75,5714.75,1
2024-09-01,18:58,5714.5,5714.75,5714.5,5714.75,2
2024-09-01,19:01,5714.75,5714.75,5714.75,5714.75,1
2024-09-01,19:04,5713.75,5714.75,5713.75,5714.75,2
2024-09-01,19:05,5714.75,5714.75,5714.75,5714.75,1
2024-09-01,19:08,5714.75,5715.0,5714.75,5715.0,2
2024-09-01,19:11,5714.75,5714.75,5714.75,5714.75,1
2024-09-01,19:18,5715.25,5715.25,5715.25,5715.25,1
2024-09-01,19:29,5715.75,5715.75,5715.75,5715.75,1
2024-09-01,19:30,5716.0,5716.75,5715.5,5716.75,5
2024-09-01,19:39,5716.75,5716.75,5716.75,5716.75,1
2024-09-01,19:47,5715.25,5715.25,5715.25,5715.25,1
2024-09-01,20:00,5714.75,5714.75,5714.75,5714.75,1
2024-09-01,20:16,5713.75,5713.75,5713.75,5713.75,4
2024-09-01,20:25,5715.0,5715.0,5715.0,5715.0,1
2024-09-01,21:02,5719.0,5719.0,5719.0,5719.0,2
2024-09-01,21:03,5719.5,5719.5,5719.5,5719.5,1
2024-09-01,21:04,5718.75,5718.75,5718.75,5718.75,1
2024-09-01,21:08,5719.25,5719.25,5719.25,5719.25,1
2024-09-01,21:19,5719.75,5719.75,5719.75,5719.75,1
2024-09-01,21:22,5720.5,5720.5,5720.5,5720.5,3
2024-09-01,21:30,5721.0,5721.0,5721.0,5721.0,1
2024-09-01,21:33,5721.25,5721.25,5721.25,5721.25,1
2024-09-01,21:40,5720.25,5720.25,5720.25,5720.25,2
2024-09-01,21:49,5720.5,5720.5,5720.5,5720.5,1
2024-09-01,21:50,5721.5,5721.5,5721.5,5721.5,1
2024-09-01,21:53,5720.0,5720.0,5720.0,5720.0,1
2024-09-01,22:02,5718.5,5718.5,5718.5,5718.5,1
2024-09-01,22:11,5716.75,5716.75,5716.75,5716.75,1
2024-09-01,22:12,5717.5,5717.5,5716.25,5716.25,8
2024-09-01,22:19,5715.0,5715.75,5715.0,5715.75,3
2024-09-01,22:24,5715.0,5715.0,5714.75,5714.75,3
2024-09-01,22:27,5714.5,5714.5,5714.5,5714.5,1
2024-09-01,22:30,5714.5,5714.5,5714.5,5714.5,1
2024-09-01,22:33,5715.5,5715.5,5715.25,5715.25,3
2024-09-01,22:36,5715.0,5715.0,5715.0,5715.0,2
2024-09-01,22:41,5716.0,5716.0,5716.0,5716.0,1
2024-09-01,22:45,5716.5,5716.5,5716.5,5716.5,2
2024-09-01,22:47,5716.5,5716.5,5716.5,5716.5,2
2024-09-01,22:53,5715.0,5715.0,5715.0,5715.0,1
2024-09-01,23:07,5714.5,5714.5,5714.5,5714.5,1
2024-09-01,23:37,5713.0,5713.0,5712.25,5712.25,2
2024-09-01,23:40,5712.25,5712.25,5712.25,5712.25,1
2024-09-01,23:41,5712.25,5712.25,5712.25,5712.25,1
2024-09-02,00:13,5711.0,5711.0,5711.0,5711.0,1
2024-09-02,00:14,5710.0,5710.75,5710.0,5710.75,5
2024-09-02,00:17,5711.75,5711.75,5711.75,5711.75,1
2024-09-02,00:18,5712.75,5712.75,5712.75,5712.75,1
2024-09-02,00:50,5713.75,5713.75,5713.75,5713.75,1
2024-09-02,00:53,5713.75,5713.75,5713.75,5713.75,1
2024-09-02,01:02,5716.0,5716.0,5716.0,5716.0,1
2024-09-02,01:04,5714.5,5714.5,5714.5,5714.5,1
2024-09-02,01:18,5714.25,5714.25,5714.25,5714.25,2
2024-09-02,01:26,5716.0,5716.0,5716.0,5716.0,1
2024-09-02,01:36,5717.0,5718.25,5717.0,5718.25,2
2024-09-02,01:38,5718.25,5718.25,5718.25,5718.25,1
2024-09-02,01:50,5716.0,5716.0,5716.0,5716.0,1
2024-09-02,01:55,5716.0,5716.0,5716.0,5716.0,1
2024-09-02,01:58,5715.0,5715.0,5715.0,5715.0,1
2024-09-02,02:09,5713.75,5713.75,5713.75,5713.75,2
2024-09-02,02:10,5712.0,5712.0,5711.75,5711.75,2
2024-09-02,02:13,5711.25,5711.25,5711.25,5711.25,1
2024-09-02,02:40,5712.75,5712.75,5712.75,5712.75,1
2024-09-02,02:43,5712.75,5712.75,5712.75,5712.75,2
2024-09-02,02:45,5711.5,5711.5,5711.5,5711.5,1
2024-09-02,02:47,5710.75,5710.75,5710.5,5710.5,3
2024-09-02,02:48,5710.0,5710.0,5710.0,5710.0,1
2024-09-02,02:54,5711.75,5711.75,5711.75,5711.75,1
2024-09-02,03:00,5709.5,5710.5,5709.5,5710.5,4
2024-09-02,03:01,5710.0,5710.0,5710.0,5710.0,1
2024-09-02,03:06,5710.25,5710.25,5710.25,5710.25,1
2024-09-02,03:09,5708.75,5708.75,5708.75,5708.75,1
2024-09-02,03:11,5707.0,5707.0,5706.0,5706.0,2
2024-09-02,03:12,5707.0,5707.0,5707.0,5707.0,2
2024-09-02,03:13,5706.5,5706.5,5706.5,5706.5,2
2024-09-02,03:15,5706.0,5706.0,5706.0,5706.0,1
2024-09-02,03:16,5705.0,5705.25,5704.25,5704.25,3
2024-09-02,03:17,5704.25,5704.25,5703.75,5703.75,2
2024-09-02,03:18,5703.75,5703.75,5703.75,5703.75,1
2024-09-02,03:19,5703.0,5703.0,5702.75,5703.0,3
2024-09-02,03:20,5702.0,5702.0,5701.0,5701.0,8
2024-09-02,03:21,5702.75,5702.75,5702.75,5702.75,2
2024-09-02,03:25,5701.0,5701.0,5701.0,5701.0,1
2024-09-02,03:26,5700.25,5700.25,5699.25,5699.25,11
2024-09-02,03:28,5700.0,5700.0,5700.0,5700.0,1
2024-09-02,03:29,5701.0,5701.0,5701.0,5701.0,4
2024-09-02,03:31,5701.75,5701.75,5701.75,5701.75,1
2024-09-02,03:32,5702.0,5702.0,5702.0,5702.0,5
2024-09-02,03:34,5703.25,5703.25,5703.25,5703.25,1
2024-09-02,03:36,5702.0,5702.0,5702.0,5702.0,2
2024-09-02,03:38,5702.0,5702.0,5701.25,5701.25,3
2024-09-02,03:40,5701.25,5701.25,5701.25,5701.25,1
2024-09-02,03:42,5701.5,5701.5,5701.5,5701.5,4
2024-09-02,03:45,5703.0,5703.0,5703.0,5703.0,1
2024-09-02,03:50,5705.0,5705.0,5705.0,5705.0,1
2024-09-02,03:52,5705.0,5705.5,5705.0,5705.5,2
2024-09-02,03:53,5705.75,5705.75,5705.75,5705.75,1
2024-09-02,03:55,5706.25,5706.25,5706.25,5706.25,2
2024-09-02,03:58,5706.5,5706.5,5706.5,5706.5,1
2024-09-02,04:05,5706.5,5706.5,5706.5,5706.5,1
2024-09-02,04:09,5707.25,5707.25,5707.25,5707.25,1
2024-09-02,04:12,5706.75,5706.75,5706.75,5706.75,1
2024-09-02,04:14,5707.75,5707.75,5707.75,5707.75,2
2024-09-02,04:17,5708.0,5708.0,5708.0,5708.0,1
2024-09-02,04:18,5708.25,5708.25,5708.25,5708.25,2
2024-09-02,04:20,5709.25,5709.25,5709.25,5709.25,1
2024-09-02,04:22,5710.5,5710.5,5710.5,5710.5,2
2024-09-02,04:24,5711.0,5711.0,5711.0,5711.0,1
2024-09-02,04:27,5712.0,5712.0,5712.0,5712.0,4
2024-09-02,04:30,5711.75,5712.0,5711.75,5712.0,2
2024-09-02,04:32,5713.0,5713.0,5713.0,5713.0,1
2024-09-02,04:34,5712.75,5712.75,5712.75,5712.75,1
2024-09-02,04:39,5712.0,5712.0,5712.0,5712.0,2
2024-09-02,04:41,5713.0,5713.0,5713.0,5713.0,1
2024-09-02,04:42,5714.25,5714.25,5714.25,5714.25,2
2024-09-02,04:43,5713.5,5713.5,5713.5,5713.5,1
2024-09-02,04:44,5713.0,5713.0,5713.0,5713.0,1
2024-09-02,04:46,5713.25,5713.25,5713.25,5713.25,1
2024-09-02,04:48,5714.75,5715.0,5714.75,5715.0,3
2024-09-02,05:04,5712.5,5712.5,5712.5,5712.5,1
2024-09-02,05:07,5712.25,5712.25,5712.25,5712.25,1
2024-09-02,05:10,5711.25,5711.25,5711.25,5711.25,1
2024-09-02,05:18,5712.75,5712.75,5712.75,5712.75,1
2024-09-02,05:19,5713.0,5713.0,5713.0,5713.0,1
2024-09-02,05:30,5714.25,5714.25,5714.25,5714.25,1
2024-09-02,05:32,5714.0,5714.0,5714.0,5714.0,1
2024-09-02,05:41,5715.75,5715.75,5715.75,5715.75,10
2024-09-02,05:42,5716.0,5716.0,5716.0,5716.0,4
2024-09-02,05:49,5715.0,5715.0,5715.0,5715.0,2
2024-09-02,05:53,5714.25,5714.25,5714.25,5714.25,1
2024-09-02,06:04,5713.5,5713.5,5713.5,5713.5,2
2024-09-02,06:15,5712.75,5712.75,5712.75,5712.75,4
2024-09-02,06:16,5713.5,5713.5,5713.5,5713.5,1
2024-09-02,06:41,5714.5,5714.5,5714.5,5714.5,1
2024-09-02,06:42,5714.5,5714.5,5714.5,5714.5,2
2024-09-02,06:46,5715.5,5715.5,5715.5,5715.5,3
2024-09-02,06:48,5714.5,5714.5,5714.5,5714.5,1
